payment_pk,customer_id,merchant_txid,amount,status,created_at,token,last4,card_type
1,23,TX-00000001,90.2,failed,2025-02-27,2d3d196cbe8e7954e8ff79c4,7809,mastercard
2,206,TX-00000002,179.79,success,2025-01-30,656358bd06ae2898ea576d4c,7944,visa
3,187,TX-00000003,359.09,success,2024-04-17,aac124c36892aeb041c3ff1f,2410,visa
4,37,TX-00000004,87.07,failed,2023-12-12,f05b34e78f00943ce1f356fe,6495,mastercard
5,17,TX-00000005,373.6,declined,2025-03-29,f517711d8a98a90da2d7d3a9,7156,visa
6,23,TX-00000006,7.61,declined,2022-07-14,1034d26e9aefe36335bab24e,7791,mastercard
7,45,TX-00000007,224.55,declined,2024-03-09,670f721bafd2895c2a0af929,3243,mastercard
8,52,TX-00000008,78.47,failed,2022-08-16,d5727d2bb470bf8ca523fedc,9037,mastercard
9,11,TX-00000009,330.01,failed,2024-04-13,783d24d6d175faa3506859e8,5979,mastercard
10,127,TX-00000010,225.92,failed,2022-04-05,1480d743e63aff297ec626a0,1439,mastercard
11,203,TX-00000011,5.97,failed,2022-09-07,a564232404e86540d754f875,8742,visa
12,32,TX-00000012,263.26,failed,2023-05-05,0cd72d4b552f191413e5986e,3938,visa
13,126,TX-00000013,363.18,declined,2022-05-17,ba5e1425abd73d3355d16119,1466,visa
14,31,TX-00000014,307.06,failed,2021-05-17,6c82ec1a8af9207d022c7578,6927,mastercard
15,149,TX-00000015,194.79,failed,2022-06-13,ccc2357c3b806dccb5025bd1,8799,mastercard
16,250,TX-00000016,279.23,success,2023-02-04,cd03e29ba583aa6790ffec66,9397,mastercard
17,188,TX-00000017,232.23,failed,2021-11-30,d7db9b07b512642c2819be36,1958,visa
18,38,TX-00000018,131.27,declined,2021-10-05,341c9547aca2df0c14bfc5c8,6855,mastercard
19,42,TX-00000019,25.89,failed,2023-05-10,5dba873c2efa65907049436f,6832,visa
20,13,TX-00000020,119.49,declined,2024-08-01,385c5690b73cd2d32c49efbf,2258,visa
21,132,TX-00000021,81.56,declined,2022-01-11,5976f69922b622fcc72efad2,2548,visa
22,154,TX-00000022,302.29,declined,2022-10-23,06187bdf67bea3c73e676790,6180,visa
23,212,TX-00000023,338.77,failed,2022-07-10,c7576f6a6d9427dcf0180ee4,6939,mastercard
24,25,TX-00000024,216.1,failed,2021-10-22,f74e435710d36aa1acbd109b,1211,mastercard
25,36,TX-00000025,209.68,failed,2025-05-14,14da6fb756b493981b58c63b,8944,visa
26,106,TX-00000026,139.42,success,2021-07-29,049dbce919820e7ce9a66665,4569,mastercard
27,40,TX-00000027,203.84,success,2024-02-19,4d4cbf304db41941ee2f0451,9612,visa
28,217,TX-00000028,215.18,declined,2024-12-09,648609fa8f4f1329c048b136,2867,mastercard
29,107,TX-00000029,186.89,success,2021-08-27,a9ac1ccadd5218fe67da1909,3150,visa
30,237,TX-00000030,11.86,failed,2022-10-01,5473b04eb2d64603d27d3705,6940,visa
31,36,TX-00000031,327.73,declined,2023-12-08,89749c25c5e401795e591f1e,6604,visa
32,45,TX-00000032,285.41,success,2025-03-05,a65aabb90023bb85ed224927,2943,mastercard
33,57,TX-00000033,55.84,declined,2021-10-19,763af757f8089f3fb725c684,4712,visa
34,79,TX-00000034,54.51,success,2021-06-10,244e9e481df38f9772877205,7960,visa
35,177,TX-00000035,306.39,success,2021-06-09,f6d76fca5f80db6d425a1816,1308,visa
36,199,TX-00000036,196.28,failed,2021-03-29,e4c4aed4edf827ec46ad6924,4217,mastercard
37,28,TX-00000037,17.95,declined,2023-11-18,352b7a08e2c12194bbae28da,1971,mastercard
38,121,TX-00000038,51.97,failed,2021-03-30,e8592c82a61b1f94345f6540,2085,mastercard
39,78,TX-00000039,268.7,success,2021-09-11,944626acc6be06eef861e28d,4365,mastercard
40,151,TX-00000040,360.96,success,2024-10-05,f8fe055eea54189360c739f7,6759,mastercard
41,8,TX-00000041,40.86,declined,2022-07-23,076e9212d0e0034f56dfd686,6698,visa
42,91,TX-00000042,68.42,declined,2025-05-19,be720497f0722eb1e4222c82,4962,visa
43,130,TX-00000043,230.24,success,2024-03-30,f1c34bbbb90f31610bf141ba,1229,mastercard
44,136,TX-00000044,90.71,success,2022-08-01,64e22872ac097c630b15c961,3814,visa
45,231,TX-00000045,302.84,success,2025-01-25,0a4c6bde505cf45c6dc9dd2e,2616,visa
